0	37.676	0.13795	41,30,25,5,9
1	37.7176	0.13855	38,37,11,6,26
2	37.7544	0.1376	23,9,3,37,20
3	37.7237	0.1389	31,9,13,12,18
4	37.7169	0.13915	23,15,9,16,12
5	37.7515	0.1386	29,11,6,26,21
6	37.7629	0.13755	49,9,25,5,1
7	37.7545	0.1402	12,15,31,8,13
8	37.7266	0.13665	23,9,13,8,26
9	37.7195	0.13495	22,18,13,9,12
0	37.7063	0.1407	39,29,1,11,18
1	37.7251	0.13695	11,39,18,15,35
2	37.724	0.1398	39,15,18,38,29
3	37.7151	0.1397	28,5,9,25,30
4	37.7093	0.1359	9,30,21,25,5
5	37.6819	0.13675	30,25,9,5,20
6	37.724	0.1367	39,37,15,18,35
7	37.7411	0.13985	30,34,5,9,25
8	37.7063	0.13385	1,39,18,37,44
9	37.7357	0.1337	15,12,35,23,9
0	37.7362	0.1408	13,17,31,18,12
1	37.7063	0.13985	37,18,44,1,39
2	37.7329	0.1407	9,23,5,2,39
3	37.7093	0.1363	5,21,30,25,9
4	37.7586	0.1382	20,23,41,9,15
5	37.7616	0.1408	38,35,20,6,26
6	37.7242	0.13705	21,23,15,9,12
7	37.7444	0.14185	8,13,5,44,1
8	37.7063	0.1391	1,18,37,35,39
9	37.741	0.1403	17,18,23,13,12
